Metric,Value
NSA ID,220
NSA Name,Richnor Springs
Total Population,551
Median HH Income ($),"$45,958"
Median Gross Rent ($/mo),"$1,660"
% Renter-Occupied,19.3%
Population Change (%),37.2%
Pop Density (per km²),6351.9
% Age 18–34,7.8%
% Age 35–64,44.8%
% Age 65+,22.5%
% Bachelor's or Higher,20.1%
Avg Household Size,2.3
% Drive Alone,88.0%
% Public Transit,6.1%
% Walk,0.1%
% Work from Home,5.8%
Median Home Value ($),"$154,711"
Vacancy Rate (%),8.4%
% Owner-Occupied,80.7%
% Units Built Pre-1950,61.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,401
Population Change (abs),149
Prior Income (CPI-adj $),"$24,628"
"Income Change (%, inflation-adj)",86.6%
Prior Median Rent ($/mo),$834
Rent Change (%),99.0%
