Metric,Value
NSA ID,221
NSA Name,Ridgely's Delight
Total Population,533
Median HH Income ($),"$75,378"
Median Gross Rent ($/mo),"$1,861"
% Renter-Occupied,81.1%
Population Change (%),-33.4%
Pop Density (per km²),4190.6
% Age 18–34,55.8%
% Age 35–64,27.6%
% Age 65+,4.7%
% Bachelor's or Higher,73.1%
Avg Household Size,2.0
% Drive Alone,45.9%
% Public Transit,7.2%
% Walk,30.4%
% Work from Home,12.5%
Median Home Value ($),"$331,246"
Vacancy Rate (%),0.0%
% Owner-Occupied,18.9%
% Units Built Pre-1950,5.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,800
Population Change (abs),-267
Prior Income (CPI-adj $),"$74,257"
"Income Change (%, inflation-adj)",1.5%
Prior Median Rent ($/mo),"$1,711"
Rent Change (%),8.8%
