Metric,Value
NSA ID,222
NSA Name,Rognel Heights
Total Population,"1,352"
Median HH Income ($),"$46,606"
% HH Income Below $50k,50.8%
% HH Income $50k–$100k,22.8%
% HH Income $100k+,26.5%
Median Gross Rent ($/mo),"$1,383"
% Renter-Occupied,12.7%
Population Change (%),137.8%
Pop Density (per km²),3072.4
% Age 18–34,16.7%
% Age 35–64,29.5%
% Age 65+,27.0%
% Bachelor's or Higher,31.2%
Avg Household Size,2.1
% Drive Alone,71.4%
% Public Transit,4.2%
% Walk,0.4%
% Work from Home,14.3%
Median Home Value ($),"$172,896"
Vacancy Rate (%),4.2%
% Vacant — For Rent,0.0%
% Vacant — For Sale,3.7%
% Vacant — Other/Distressed,0.5%
% Owner-Occupied,87.3%
% Units Built Pre-1950,75.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,568
Population Change (abs),783
Pop Change vs City Avg (pp),-615.2%
Prior Income (CPI-adj $),"$62,826"
"Income Change (%, inflation-adj)",-25.8%
Income Change vs City Avg (pp),-36.1%
Prior Median Rent ($/mo),"$1,663"
Rent Change (%),-16.9%
Rent Change vs City Avg (pp),-42.8%
Prior Median Home Value ($),143372.94566366862
Home Value Change (%),20.6%
Home Value Change vs City Avg (pp),-17.5%
Prior Vacancy Rate (%),20.3%
Vacancy Rate Change (pp),-16.1%
Vacancy Change vs City Avg (pp),-11.9%
Prior % Bachelor's+,24.5%
Education Change (pp),6.7%
Education Change vs City Avg (pp),3.8%
Market Signals,No strong signals
