Metric,Value
NSA ID,223
NSA Name,Roland Park
Total Population,"4,941"
Median HH Income ($),"$127,515"
Median Gross Rent ($/mo),"$1,424"
% Renter-Occupied,29.8%
Population Change (%),-4.0%
Pop Density (per km²),1992.3
% Age 18–34,19.2%
% Age 35–64,37.4%
% Age 65+,20.9%
% Bachelor's or Higher,84.3%
Avg Household Size,2.3
% Drive Alone,53.9%
% Public Transit,3.6%
% Walk,5.9%
% Work from Home,26.9%
Median Home Value ($),"$476,047"
Vacancy Rate (%),5.2%
% Owner-Occupied,70.2%
% Units Built Pre-1950,11.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"5,148"
Population Change (abs),-207
Prior Income (CPI-adj $),"$121,270"
"Income Change (%, inflation-adj)",5.1%
Prior Median Rent ($/mo),"$1,286"
Rent Change (%),10.7%
