Metric,Value
NSA ID,224
NSA Name,Rosebank
Total Population,483
Median HH Income ($),"$129,922"
Median Gross Rent ($/mo),"$1,194"
% Renter-Occupied,51.2%
Population Change (%),10.0%
Pop Density (per km²),2820.2
% Age 18–34,17.9%
% Age 35–64,41.9%
% Age 65+,12.8%
% Bachelor's or Higher,57.5%
Avg Household Size,2.7
% Drive Alone,59.2%
% Public Transit,2.5%
% Walk,0.0%
% Work from Home,32.2%
Median Home Value ($),"$335,459"
Vacancy Rate (%),0.0%
% Owner-Occupied,48.8%
% Units Built Pre-1950,38.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,439
Population Change (abs),43
Prior Income (CPI-adj $),"$87,603"
"Income Change (%, inflation-adj)",48.3%
Prior Median Rent ($/mo),"$1,509"
Rent Change (%),-20.9%
