Metric,Value
NSA ID,225
NSA Name,Saint Paul
Total Population,117
Median HH Income ($),"$57,955"
Median Gross Rent ($/mo),"$1,697"
% Renter-Occupied,52.0%
Population Change (%),-7.5%
Pop Density (per km²),480.6
% Age 18–34,20.4%
% Age 35–64,32.7%
% Age 65+,8.7%
% Bachelor's or Higher,7.9%
Avg Household Size,3.1
% Drive Alone,72.2%
% Public Transit,12.2%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$86,176"
Vacancy Rate (%),11.2%
% Owner-Occupied,48.0%
% Units Built Pre-1950,56.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,126
Population Change (abs),-9
Prior Income (CPI-adj $),"$45,012"
"Income Change (%, inflation-adj)",28.8%
Prior Median Rent ($/mo),$950
Rent Change (%),78.6%
