Metric,Value
NSA ID,227
NSA Name,Seton Business Park
Total Population,201
Median HH Income ($),"$30,531"
Median Gross Rent ($/mo),"$1,080"
% Renter-Occupied,100.0%
Population Change (%),4.4%
Pop Density (per km²),198.5
% Age 18–34,1.1%
% Age 35–64,56.5%
% Age 65+,42.5%
% Bachelor's or Higher,5.3%
Avg Household Size,0.0
% Drive Alone,100.0%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$173,750"
Vacancy Rate (%),6.8%
% Owner-Occupied,0.0%
% Units Built Pre-1950,100.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,192
Population Change (abs),8
Prior Income (CPI-adj $),"$35,512"
"Income Change (%, inflation-adj)",-14.0%
Prior Median Rent ($/mo),$713
Rent Change (%),51.6%
