Metric,Value
NSA ID,229
NSA Name,Sharp-Leadenhall
Total Population,"1,145"
Median HH Income ($),"$92,554"
Median Gross Rent ($/mo),"$2,292"
% Renter-Occupied,83.0%
Population Change (%),49.3%
Pop Density (per km²),6404.4
% Age 18–34,45.6%
% Age 35–64,35.6%
% Age 65+,10.0%
% Bachelor's or Higher,69.5%
Avg Household Size,1.5
% Drive Alone,63.5%
% Public Transit,1.1%
% Walk,9.1%
% Work from Home,18.3%
Median Home Value ($),"$448,448"
Vacancy Rate (%),10.9%
% Owner-Occupied,17.0%
% Units Built Pre-1950,9.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,766
Population Change (abs),378
Prior Income (CPI-adj $),"$56,040"
"Income Change (%, inflation-adj)",65.2%
Prior Median Rent ($/mo),"$1,314"
Rent Change (%),74.5%
