Metric,Value
NSA ID,22
NSA Name,Parkside
Total Population,"2,125"
Median HH Income ($),"$35,059"
% HH Income Below $50k,70.3%
% HH Income $50k–$100k,25.0%
% HH Income $100k+,4.7%
Median Gross Rent ($/mo),"$1,118"
% Renter-Occupied,60.7%
Population Change (%),-10.3%
Pop Density (per km²),6982.0
% Age 18–34,24.8%
% Age 35–64,43.5%
% Age 65+,14.3%
% Bachelor's or Higher,6.8%
Avg Household Size,1.8
% Drive Alone,67.0%
% Public Transit,12.3%
% Walk,0.5%
% Work from Home,0.7%
Median Home Value ($),"$117,834"
Vacancy Rate (%),9.8%
% Vacant — For Rent,0.8%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,9.0%
% Owner-Occupied,39.3%
% Units Built Pre-1950,65.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,367"
Population Change (abs),-242
Pop Change vs City Avg (pp),-763.3%
Prior Income (CPI-adj $),"$42,186"
"Income Change (%, inflation-adj)",-16.9%
Income Change vs City Avg (pp),-27.2%
Prior Median Rent ($/mo),$832
Rent Change (%),34.4%
Rent Change vs City Avg (pp),8.5%
Prior Median Home Value ($),99077.68803397326
Home Value Change (%),18.9%
Home Value Change vs City Avg (pp),-19.2%
Prior Vacancy Rate (%),13.4%
Vacancy Rate Change (pp),-3.6%
Vacancy Change vs City Avg (pp),0.6%
Prior % Bachelor's+,7.5%
Education Change (pp),-0.7%
Education Change vs City Avg (pp),-3.6%
Market Signals,Renter demand rising; Affordability stress — rents outpacing incomes
