Metric,Value
NSA ID,230
NSA Name,Shipley Hill
Total Population,"1,089"
Median HH Income ($),"$29,257"
Median Gross Rent ($/mo),"$1,201"
% Renter-Occupied,62.2%
Population Change (%),-29.1%
Pop Density (per km²),2344.2
% Age 18–34,15.2%
% Age 35–64,40.2%
% Age 65+,19.1%
% Bachelor's or Higher,5.8%
Avg Household Size,2.7
% Drive Alone,46.5%
% Public Transit,22.3%
% Walk,8.5%
% Work from Home,4.6%
Median Home Value ($),"$50,274"
Vacancy Rate (%),57.5%
% Owner-Occupied,37.8%
% Units Built Pre-1950,20.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,535"
Population Change (abs),-446
Prior Income (CPI-adj $),"$32,464"
"Income Change (%, inflation-adj)",-9.9%
Prior Median Rent ($/mo),"$1,027"
Rent Change (%),16.9%
