Metric,Value
NSA ID,233
NSA Name,The Orchards
Total Population,425
Median HH Income ($),"$193,379"
Median Gross Rent ($/mo),"$1,757"
% Renter-Occupied,4.5%
Population Change (%),-13.7%
Pop Density (per km²),776.2
% Age 18–34,7.6%
% Age 35–64,51.9%
% Age 65+,25.1%
% Bachelor's or Higher,84.2%
Avg Household Size,2.5
% Drive Alone,59.7%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,39.2%
Median Home Value ($),"$563,555"
Vacancy Rate (%),16.8%
% Owner-Occupied,95.5%
% Units Built Pre-1950,23.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,492
Population Change (abs),-67
Prior Income (CPI-adj $),"$170,002"
"Income Change (%, inflation-adj)",13.8%
Prior Median Rent ($/mo),"$1,894"
Rent Change (%),-7.2%
