Metric,Value
NSA ID,234
NSA Name,Towanda-Grantley
Total Population,887
Median HH Income ($),"$52,361"
Median Gross Rent ($/mo),"$1,190"
% Renter-Occupied,48.7%
Population Change (%),27.9%
Pop Density (per km²),2437.1
% Age 18–34,21.1%
% Age 35–64,41.2%
% Age 65+,20.6%
% Bachelor's or Higher,4.8%
Avg Household Size,3.0
% Drive Alone,25.8%
% Public Transit,55.2%
% Walk,0.3%
% Work from Home,12.6%
Median Home Value ($),"$125,299"
Vacancy Rate (%),45.8%
% Owner-Occupied,51.3%
% Units Built Pre-1950,27.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,693
Population Change (abs),193
Prior Income (CPI-adj $),"$24,565"
"Income Change (%, inflation-adj)",113.2%
Prior Median Rent ($/mo),"$1,020"
Rent Change (%),16.6%
