Metric,Value
NSA ID,235
NSA Name,Tremont
Total Population,438
Median HH Income ($),"$54,499"
% HH Income Below $50k,41.1%
% HH Income $50k–$100k,29.4%
% HH Income $100k+,29.5%
Median Gross Rent ($/mo),$892
% Renter-Occupied,4.0%
Population Change (%),-40.5%
Pop Density (per km²),4202.2
% Age 18–34,22.1%
% Age 35–64,53.7%
% Age 65+,11.5%
% Bachelor's or Higher,32.4%
Avg Household Size,2.2
% Drive Alone,73.9%
% Public Transit,12.0%
% Walk,0.0%
% Work from Home,14.1%
Median Home Value ($),"$195,725"
Vacancy Rate (%),25.5%
% Vacant — For Rent,12.4%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,13.0%
% Owner-Occupied,96.0%
% Units Built Pre-1950,53.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,736
Population Change (abs),-298
Pop Change vs City Avg (pp),-793.5%
Prior Income (CPI-adj $),"$49,506"
"Income Change (%, inflation-adj)",10.1%
Income Change vs City Avg (pp),-0.2%
Prior Median Rent ($/mo),"$1,246"
Rent Change (%),-28.4%
Rent Change vs City Avg (pp),-54.3%
Prior Median Home Value ($),107925.37046069067
Home Value Change (%),81.4%
Home Value Change vs City Avg (pp),43.3%
Prior Vacancy Rate (%),0.3%
Vacancy Rate Change (pp),25.2%
Vacancy Change vs City Avg (pp),29.4%
Prior % Bachelor's+,28.3%
Education Change (pp),4.1%
Education Change vs City Avg (pp),1.2%
Market Signals,Vacancy distress — disinvestment risk; Home value appreciation outpacing city; Significant population loss
