Metric,Value
NSA ID,237
NSA Name,Union Square
Total Population,"1,344"
Median HH Income ($),"$72,396"
% HH Income Below $50k,43.5%
% HH Income $50k–$100k,17.9%
% HH Income $100k+,38.6%
Median Gross Rent ($/mo),"$1,307"
% Renter-Occupied,57.7%
Population Change (%),39.2%
Pop Density (per km²),7827.2
% Age 18–34,23.5%
% Age 35–64,47.0%
% Age 65+,10.1%
% Bachelor's or Higher,32.2%
Avg Household Size,2.2
% Drive Alone,28.9%
% Public Transit,40.8%
% Walk,5.8%
% Work from Home,19.9%
Median Home Value ($),"$388,818"
Vacancy Rate (%),29.5%
% Vacant — For Rent,4.7%
% Vacant — For Sale,3.8%
% Vacant — Other/Distressed,21.0%
% Owner-Occupied,42.3%
% Units Built Pre-1950,6.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,965
Population Change (abs),378
Pop Change vs City Avg (pp),-713.8%
Prior Income (CPI-adj $),"$32,989"
"Income Change (%, inflation-adj)",119.5%
Income Change vs City Avg (pp),109.2%
Prior Median Rent ($/mo),$766
Rent Change (%),70.6%
Rent Change vs City Avg (pp),44.7%
Prior Median Home Value ($),242465.4760221967
Home Value Change (%),60.4%
Home Value Change vs City Avg (pp),22.3%
Prior Vacancy Rate (%),32.1%
Vacancy Rate Change (pp),-2.6%
Vacancy Change vs City Avg (pp),1.6%
Prior % Bachelor's+,29.9%
Education Change (pp),2.3%
Education Change vs City Avg (pp),-0.6%
Market Signals,Household incomes rising faster than city; Home value appreciation outpacing city
