Metric,Value
NSA ID,239
NSA Name,Upper Fells Point
Total Population,"3,064"
Median HH Income ($),"$96,415"
Median Gross Rent ($/mo),"$1,647"
% Renter-Occupied,48.7%
Population Change (%),-16.2%
Pop Density (per km²),9304.3
% Age 18–34,41.5%
% Age 35–64,38.4%
% Age 65+,8.1%
% Bachelor's or Higher,73.8%
Avg Household Size,1.9
% Drive Alone,42.7%
% Public Transit,2.1%
% Walk,18.0%
% Work from Home,30.0%
Median Home Value ($),"$330,684"
Vacancy Rate (%),13.3%
% Owner-Occupied,51.3%
% Units Built Pre-1950,3.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,656"
Population Change (abs),-592
Prior Income (CPI-adj $),"$106,053"
"Income Change (%, inflation-adj)",-9.1%
Prior Median Rent ($/mo),"$1,371"
Rent Change (%),20.2%
