Metric,Value
NSA ID,23
NSA Name,Auchentoroly-Parkwood
Total Population,"2,182"
Median HH Income ($),"$52,159"
Median Gross Rent ($/mo),"$1,182"
% Renter-Occupied,58.9%
Population Change (%),7.9%
Pop Density (per km²),8545.7
% Age 18–34,23.2%
% Age 35–64,41.7%
% Age 65+,9.1%
% Bachelor's or Higher,19.6%
Avg Household Size,2.7
% Drive Alone,54.9%
% Public Transit,25.2%
% Walk,8.9%
% Work from Home,2.9%
Median Home Value ($),"$77,062"
Vacancy Rate (%),24.4%
% Owner-Occupied,41.1%
% Units Built Pre-1950,26.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,022"
Population Change (abs),159
Prior Income (CPI-adj $),"$32,877"
"Income Change (%, inflation-adj)",58.6%
Prior Median Rent ($/mo),"$1,109"
Rent Change (%),6.6%
