Metric,Value
NSA ID,242
NSA Name,Walbrook
Total Population,"1,273"
Median HH Income ($),"$28,254"
Median Gross Rent ($/mo),"$1,229"
% Renter-Occupied,57.9%
Population Change (%),-16.9%
Pop Density (per km²),2461.5
% Age 18–34,26.8%
% Age 35–64,32.2%
% Age 65+,18.7%
% Bachelor's or Higher,7.4%
Avg Household Size,1.9
% Drive Alone,57.3%
% Public Transit,34.3%
% Walk,0.0%
% Work from Home,3.9%
Median Home Value ($),"$156,630"
Vacancy Rate (%),30.8%
% Owner-Occupied,42.1%
% Units Built Pre-1950,23.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,531"
Population Change (abs),-258
Prior Income (CPI-adj $),"$53,149"
"Income Change (%, inflation-adj)",-46.8%
Prior Median Rent ($/mo),"$1,192"
Rent Change (%),3.1%
