Metric,Value
NSA ID,243
NSA Name,Waltherson
Total Population,"6,058"
Median HH Income ($),"$66,447"
% HH Income Below $50k,31.9%
% HH Income $50k–$100k,32.9%
% HH Income $100k+,35.2%
Median Gross Rent ($/mo),"$1,391"
% Renter-Occupied,27.0%
Population Change (%),-14.1%
Pop Density (per km²),3164.6
% Age 18–34,20.2%
% Age 35–64,43.4%
% Age 65+,16.9%
% Bachelor's or Higher,27.5%
Avg Household Size,2.4
% Drive Alone,65.5%
% Public Transit,8.0%
% Walk,1.0%
% Work from Home,17.7%
Median Home Value ($),"$230,827"
Vacancy Rate (%),8.3%
% Vacant — For Rent,1.3%
% Vacant — For Sale,3.4%
% Vacant — Other/Distressed,3.6%
% Owner-Occupied,73.0%
% Units Built Pre-1950,41.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"7,051"
Population Change (abs),-993
Pop Change vs City Avg (pp),-767.1%
Prior Income (CPI-adj $),"$77,431"
"Income Change (%, inflation-adj)",-14.2%
Income Change vs City Avg (pp),-24.5%
Prior Median Rent ($/mo),"$1,046"
Rent Change (%),33.0%
Rent Change vs City Avg (pp),7.1%
Prior Median Home Value ($),158276.53722008917
Home Value Change (%),45.8%
Home Value Change vs City Avg (pp),7.7%
Prior Vacancy Rate (%),14.9%
Vacancy Rate Change (pp),-6.6%
Vacancy Change vs City Avg (pp),-2.4%
Prior % Bachelor's+,24.9%
Education Change (pp),2.6%
Education Change vs City Avg (pp),-0.3%
Market Signals,Renter demand rising; Affordability stress — rents outpacing incomes
