Metric,Value
NSA ID,245
NSA Name,Washington Village/Pigtown
Total Population,"5,038"
Median HH Income ($),"$55,837"
Median Gross Rent ($/mo),"$1,411"
% Renter-Occupied,58.8%
Population Change (%),-9.9%
Pop Density (per km²),5957.1
% Age 18–34,39.0%
% Age 35–64,34.4%
% Age 65+,10.6%
% Bachelor's or Higher,43.2%
Avg Household Size,2.0
% Drive Alone,54.2%
% Public Transit,9.9%
% Walk,8.1%
% Work from Home,18.4%
Median Home Value ($),"$223,824"
Vacancy Rate (%),14.4%
% Owner-Occupied,41.2%
% Units Built Pre-1950,16.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"5,593"
Population Change (abs),-555
Prior Income (CPI-adj $),"$53,819"
"Income Change (%, inflation-adj)",3.7%
Prior Median Rent ($/mo),"$1,282"
Rent Change (%),10.1%
