Metric,Value
NSA ID,247
NSA Name,West Arlington
Total Population,"1,751"
Median HH Income ($),"$49,051"
Median Gross Rent ($/mo),"$1,073"
% Renter-Occupied,33.8%
Population Change (%),-12.8%
Pop Density (per km²),2480.2
% Age 18–34,14.6%
% Age 35–64,43.2%
% Age 65+,24.0%
% Bachelor's or Higher,21.5%
Avg Household Size,2.5
% Drive Alone,61.1%
% Public Transit,16.8%
% Walk,1.8%
% Work from Home,10.1%
Median Home Value ($),"$208,081"
Vacancy Rate (%),8.7%
% Owner-Occupied,66.2%
% Units Built Pre-1950,32.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,007"
Population Change (abs),-256
Prior Income (CPI-adj $),"$60,469"
"Income Change (%, inflation-adj)",-18.9%
Prior Median Rent ($/mo),$938
Rent Change (%),14.4%
