Metric,Value
NSA ID,248
NSA Name,West Forest Park
Total Population,"2,811"
Median HH Income ($),"$71,982"
Median Gross Rent ($/mo),"$1,055"
% Renter-Occupied,64.6%
Population Change (%),8.2%
Pop Density (per km²),2935.2
% Age 18–34,27.9%
% Age 35–64,35.3%
% Age 65+,8.8%
% Bachelor's or Higher,35.0%
Avg Household Size,2.6
% Drive Alone,38.6%
% Public Transit,17.1%
% Walk,0.0%
% Work from Home,18.8%
Median Home Value ($),"$304,489"
Vacancy Rate (%),16.2%
% Owner-Occupied,35.4%
% Units Built Pre-1950,30.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,597"
Population Change (abs),213
Prior Income (CPI-adj $),"$50,450"
"Income Change (%, inflation-adj)",42.7%
Prior Median Rent ($/mo),"$1,034"
Rent Change (%),2.1%
