Metric,Value
NSA ID,252
NSA Name,Winchester
Total Population,"1,205"
Median HH Income ($),"$37,170"
Median Gross Rent ($/mo),"$1,323"
% Renter-Occupied,72.6%
Population Change (%),42.5%
Pop Density (per km²),5745.0
% Age 18–34,25.5%
% Age 35–64,23.0%
% Age 65+,17.6%
% Bachelor's or Higher,16.9%
Avg Household Size,2.9
% Drive Alone,33.3%
% Public Transit,45.6%
% Walk,0.0%
% Work from Home,9.3%
Median Home Value ($),"$71,638"
Vacancy Rate (%),32.0%
% Owner-Occupied,27.4%
% Units Built Pre-1950,29.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,845
Population Change (abs),359
Prior Income (CPI-adj $),"$41,812"
"Income Change (%, inflation-adj)",-11.1%
Prior Median Rent ($/mo),"$1,180"
Rent Change (%),12.1%
