Metric,Value
NSA ID,253
NSA Name,Windsor Hills
Total Population,"2,121"
Median HH Income ($),"$90,626"
% HH Income Below $50k,20.5%
% HH Income $50k–$100k,33.4%
% HH Income $100k+,46.1%
Median Gross Rent ($/mo),"$1,110"
% Renter-Occupied,44.4%
Population Change (%),36.2%
Pop Density (per km²),3496.2
% Age 18–34,20.5%
% Age 35–64,33.3%
% Age 65+,12.1%
% Bachelor's or Higher,26.8%
Avg Household Size,2.6
% Drive Alone,54.1%
% Public Transit,8.6%
% Walk,0.0%
% Work from Home,20.5%
Median Home Value ($),"$235,674"
Vacancy Rate (%),14.8%
% Vacant — For Rent,1.9%
% Vacant — For Sale,2.0%
% Vacant — Other/Distressed,10.9%
% Owner-Occupied,55.6%
% Units Built Pre-1950,33.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,556"
Population Change (abs),564
Pop Change vs City Avg (pp),-716.8%
Prior Income (CPI-adj $),"$68,152"
"Income Change (%, inflation-adj)",33.0%
Income Change vs City Avg (pp),22.7%
Prior Median Rent ($/mo),"$1,092"
Rent Change (%),1.7%
Rent Change vs City Avg (pp),-24.2%
Prior Median Home Value ($),139941.5525707437
Home Value Change (%),68.4%
Home Value Change vs City Avg (pp),30.3%
Prior Vacancy Rate (%),17.3%
Vacancy Rate Change (pp),-2.5%
Vacancy Change vs City Avg (pp),1.7%
Prior % Bachelor's+,32.2%
Education Change (pp),-5.4%
Education Change vs City Avg (pp),-8.3%
Market Signals,Household incomes rising faster than city; Home value appreciation outpacing city
