Metric,Value
NSA ID,256
NSA Name,Woodbourne-McCabe
Total Population,790
Median HH Income ($),"$56,495"
Median Gross Rent ($/mo),$650
% Renter-Occupied,26.0%
Population Change (%),113.0%
Pop Density (per km²),4060.8
% Age 18–34,6.9%
% Age 35–64,49.0%
% Age 65+,29.4%
% Bachelor's or Higher,14.4%
Avg Household Size,2.6
% Drive Alone,89.2%
% Public Transit,5.8%
% Walk,0.0%
% Work from Home,5.0%
Median Home Value ($),"$145,452"
Vacancy Rate (%),32.6%
% Owner-Occupied,74.0%
% Units Built Pre-1950,55.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,370
Population Change (abs),419
Prior Income (CPI-adj $),"$42,519"
"Income Change (%, inflation-adj)",32.9%
Prior Median Rent ($/mo),$51
Rent Change (%),1186.7%
