Metric,Value
NSA ID,258
NSA Name,Wyman Park
Total Population,"1,052"
Median HH Income ($),"$105,977"
% HH Income Below $50k,24.1%
% HH Income $50k–$100k,21.7%
% HH Income $100k+,54.3%
Median Gross Rent ($/mo),"$1,612"
% Renter-Occupied,44.0%
Population Change (%),13.7%
Pop Density (per km²),3684.4
% Age 18–34,30.8%
% Age 35–64,46.9%
% Age 65+,8.2%
% Bachelor's or Higher,76.2%
Avg Household Size,1.9
% Drive Alone,49.3%
% Public Transit,4.0%
% Walk,16.2%
% Work from Home,21.3%
Median Home Value ($),"$323,364"
Vacancy Rate (%),3.1%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,3.0%
% Owner-Occupied,56.0%
% Units Built Pre-1950,21.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,925
Population Change (abs),126
Pop Change vs City Avg (pp),-739.3%
Prior Income (CPI-adj $),"$100,945"
"Income Change (%, inflation-adj)",5.0%
Income Change vs City Avg (pp),-5.3%
Prior Median Rent ($/mo),"$1,156"
Rent Change (%),39.4%
Rent Change vs City Avg (pp),13.5%
Prior Median Home Value ($),250537.2052432005
Home Value Change (%),29.1%
Home Value Change vs City Avg (pp),-9.0%
Prior Vacancy Rate (%),12.7%
Vacancy Rate Change (pp),-9.6%
Vacancy Change vs City Avg (pp),-5.4%
Prior % Bachelor's+,81.9%
Education Change (pp),-5.7%
Education Change vs City Avg (pp),-8.6%
Market Signals,Renter demand rising; Young adult population growing; Affordability stress — rents outpacing incomes
