Metric,Value
NSA ID,25
NSA Name,Pimlico Good Neighbors
Total Population,691
Median HH Income ($),"$11,952"
Median Gross Rent ($/mo),$771
% Renter-Occupied,58.9%
Population Change (%),-10.4%
Pop Density (per km²),902.3
% Age 18–34,18.2%
% Age 35–64,29.4%
% Age 65+,18.9%
% Bachelor's or Higher,18.7%
Avg Household Size,2.0
% Drive Alone,86.5%
% Public Transit,0.4%
% Walk,0.2%
% Work from Home,5.3%
Median Home Value ($),"$216,435"
Vacancy Rate (%),9.8%
% Owner-Occupied,41.1%
% Units Built Pre-1950,37.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,771
Population Change (abs),-80
Prior Income (CPI-adj $),"$33,351"
"Income Change (%, inflation-adj)",-64.2%
Prior Median Rent ($/mo),"$1,173"
Rent Change (%),-34.3%
