Metric,Value
NSA ID,262
NSA Name,Belair-Edison
Total Population,"14,663"
Median HH Income ($),"$51,344"
Median Gross Rent ($/mo),"$1,496"
% Renter-Occupied,37.9%
Population Change (%),-15.5%
Pop Density (per km²),6918.4
% Age 18–34,20.7%
% Age 35–64,42.4%
% Age 65+,11.7%
% Bachelor's or Higher,17.4%
Avg Household Size,2.5
% Drive Alone,63.0%
% Public Transit,12.1%
% Walk,2.2%
% Work from Home,5.9%
Median Home Value ($),"$129,197"
Vacancy Rate (%),10.3%
% Owner-Occupied,62.1%
% Units Built Pre-1950,52.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"17,345"
Population Change (abs),"-2,682"
Prior Income (CPI-adj $),"$48,636"
"Income Change (%, inflation-adj)",5.6%
Prior Median Rent ($/mo),"$1,149"
Rent Change (%),30.1%
