Metric,Value
NSA ID,265
NSA Name,Old Goucher
Total Population,567
Median HH Income ($),"$27,696"
Median Gross Rent ($/mo),$930
% Renter-Occupied,90.3%
Population Change (%),-15.6%
Pop Density (per km²),3780.9
% Age 18–34,35.1%
% Age 35–64,44.4%
% Age 65+,15.2%
% Bachelor's or Higher,41.8%
Avg Household Size,1.3
% Drive Alone,29.2%
% Public Transit,44.1%
% Walk,3.9%
% Work from Home,20.5%
Median Home Value ($),"$284,913"
Vacancy Rate (%),12.9%
% Owner-Occupied,9.7%
% Units Built Pre-1950,10.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,671
Population Change (abs),-104
Prior Income (CPI-adj $),"$34,540"
"Income Change (%, inflation-adj)",-19.8%
Prior Median Rent ($/mo),$885
Rent Change (%),5.1%
