Metric,Value
NSA ID,26
NSA Name,Pleasant View Gardens
Total Population,526
Median HH Income ($),"$13,023"
% HH Income Below $50k,96.1%
% HH Income $50k–$100k,2.0%
% HH Income $100k+,2.0%
Median Gross Rent ($/mo),$291
% Renter-Occupied,92.5%
Population Change (%),20.0%
Pop Density (per km²),4492.0
% Age 18–34,13.7%
% Age 35–64,29.9%
% Age 65+,35.9%
% Bachelor's or Higher,5.5%
Avg Household Size,2.1
% Drive Alone,0.1%
% Public Transit,87.7%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$162,521"
Vacancy Rate (%),11.2%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,11.2%
% Owner-Occupied,7.5%
% Units Built Pre-1950,0.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,438
Population Change (abs),87
Pop Change vs City Avg (pp),-733.0%
Prior Income (CPI-adj $),"$18,638"
"Income Change (%, inflation-adj)",-30.1%
Income Change vs City Avg (pp),-40.4%
Prior Median Rent ($/mo),$293
Rent Change (%),-0.8%
Rent Change vs City Avg (pp),-26.7%
Prior Median Home Value ($),137515.44218405447
Home Value Change (%),18.2%
Home Value Change vs City Avg (pp),-19.9%
Prior Vacancy Rate (%),20.0%
Vacancy Rate Change (pp),-8.8%
Vacancy Change vs City Avg (pp),-4.6%
Prior % Bachelor's+,8.3%
Education Change (pp),-2.8%
Education Change vs City Avg (pp),-5.7%
Market Signals,Affordability stress — rents outpacing incomes
