Metric,Value
NSA ID,270
NSA Name,Inner Harbor
Total Population,494
Median HH Income ($),"$100,989"
Median Gross Rent ($/mo),"$1,960"
% Renter-Occupied,66.5%
Population Change (%),148.6%
Pop Density (per km²),1314.2
% Age 18–34,37.3%
% Age 35–64,41.8%
% Age 65+,14.2%
% Bachelor's or Higher,74.8%
Avg Household Size,1.6
% Drive Alone,55.8%
% Public Transit,2.0%
% Walk,12.6%
% Work from Home,24.1%
Median Home Value ($),"$429,523"
Vacancy Rate (%),11.8%
% Owner-Occupied,33.5%
% Units Built Pre-1950,4.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,198
Population Change (abs),295
Prior Income (CPI-adj $),"$135,314"
"Income Change (%, inflation-adj)",-25.4%
Prior Median Rent ($/mo),"$2,272"
Rent Change (%),-13.7%
