Metric,Value
NSA ID,273
NSA Name,Riverside
Total Population,"5,969"
Median HH Income ($),"$158,140"
Median Gross Rent ($/mo),"$2,207"
% Renter-Occupied,34.3%
Population Change (%),7.0%
Pop Density (per km²),7252.1
% Age 18–34,40.2%
% Age 35–64,40.4%
% Age 65+,7.9%
% Bachelor's or Higher,80.5%
Avg Household Size,1.9
% Drive Alone,57.0%
% Public Transit,2.2%
% Walk,6.4%
% Work from Home,29.2%
Median Home Value ($),"$389,510"
Vacancy Rate (%),6.0%
% Owner-Occupied,65.7%
% Units Built Pre-1950,3.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"5,579"
Population Change (abs),389
Prior Income (CPI-adj $),"$134,666"
"Income Change (%, inflation-adj)",17.4%
Prior Median Rent ($/mo),"$1,889"
Rent Change (%),16.8%
