Metric,Value
NSA ID,277
NSA Name,Jones Falls Area
Total Population,180
Median HH Income ($),"$97,097"
Median Gross Rent ($/mo),"$2,118"
% Renter-Occupied,39.5%
Population Change (%),15.2%
Pop Density (per km²),249.4
% Age 18–34,49.6%
% Age 35–64,31.9%
% Age 65+,14.5%
% Bachelor's or Higher,65.3%
Avg Household Size,1.7
% Drive Alone,65.3%
% Public Transit,2.9%
% Walk,2.5%
% Work from Home,25.9%
Median Home Value ($),"$266,793"
Vacancy Rate (%),4.0%
% Owner-Occupied,60.5%
% Units Built Pre-1950,4.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,156
Population Change (abs),23
Prior Income (CPI-adj $),"$111,892"
"Income Change (%, inflation-adj)",-13.2%
Prior Median Rent ($/mo),"$1,558"
Rent Change (%),35.9%
