Metric,Value
NSA ID,279
NSA Name,Middle Branch/Reedbird Parks
Total Population,36
Median HH Income ($),"$39,532"
% HH Income Below $50k,53.1%
% HH Income $50k–$100k,37.5%
% HH Income $100k+,9.3%
Median Gross Rent ($/mo),"$1,181"
% Renter-Occupied,92.1%
Population Change (%),-17.5%
Pop Density (per km²),38.1
% Age 18–34,23.7%
% Age 35–64,35.8%
% Age 65+,9.8%
% Bachelor's or Higher,11.8%
Avg Household Size,2.3
% Drive Alone,71.6%
% Public Transit,9.9%
% Walk,1.4%
% Work from Home,7.4%
Median Home Value ($),"$76,334"
Vacancy Rate (%),8.6%
% Vacant — For Rent,1.3%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,7.3%
% Owner-Occupied,7.9%
% Units Built Pre-1950,36.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,43
Population Change (abs),-7
Pop Change vs City Avg (pp),-770.5%
Prior Income (CPI-adj $),"$35,895"
"Income Change (%, inflation-adj)",10.1%
Income Change vs City Avg (pp),-0.2%
Prior Median Rent ($/mo),$905
Rent Change (%),30.5%
Rent Change vs City Avg (pp),4.6%
Prior Median Home Value ($),87211.76662896373
Home Value Change (%),-12.5%
Home Value Change vs City Avg (pp),-50.6%
Prior Vacancy Rate (%),11.9%
Vacancy Rate Change (pp),-3.3%
Vacancy Change vs City Avg (pp),0.9%
Prior % Bachelor's+,11.7%
Education Change (pp),0.1%
Education Change vs City Avg (pp),-2.8%
Market Signals,Renter demand rising; Affordability stress — rents outpacing incomes; Significant population loss
