Metric,Value
NSA ID,27
NSA Name,Purnell
Total Population,266
Median HH Income ($),"$91,538"
% HH Income Below $50k,22.0%
% HH Income $50k–$100k,35.5%
% HH Income $100k+,42.5%
Median Gross Rent ($/mo),"$1,545"
% Renter-Occupied,60.8%
Population Change (%),-10.6%
Pop Density (per km²),2583.3
% Age 18–34,61.6%
% Age 35–64,21.5%
% Age 65+,6.2%
% Bachelor's or Higher,38.2%
Avg Household Size,2.0
% Drive Alone,57.8%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,42.1%
Median Home Value ($),"$235,605"
Vacancy Rate (%),0.0%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,0.0%
% Owner-Occupied,39.2%
% Units Built Pre-1950,33.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,297
Population Change (abs),-31
Pop Change vs City Avg (pp),-763.6%
Prior Income (CPI-adj $),"$62,129"
"Income Change (%, inflation-adj)",47.3%
Income Change vs City Avg (pp),37.0%
Prior Median Rent ($/mo),"$1,169"
Rent Change (%),32.1%
Rent Change vs City Avg (pp),6.2%
Prior Median Home Value ($),260085.84560392727
Home Value Change (%),-9.4%
Home Value Change vs City Avg (pp),-47.5%
Prior Vacancy Rate (%),20.6%
Vacancy Rate Change (pp),-20.6%
Vacancy Change vs City Avg (pp),-16.4%
Prior % Bachelor's+,35.4%
Education Change (pp),2.8%
Education Change vs City Avg (pp),-0.1%
Market Signals,Renter demand rising; Household incomes rising faster than city
