Metric,Value
NSA ID,29
NSA Name,Rosemont East
Total Population,"1,515"
Median HH Income ($),"$88,963"
Median Gross Rent ($/mo),"$1,115"
% Renter-Occupied,27.0%
Population Change (%),-11.4%
Pop Density (per km²),2320.9
% Age 18–34,16.1%
% Age 35–64,37.4%
% Age 65+,31.6%
% Bachelor's or Higher,26.1%
Avg Household Size,2.4
% Drive Alone,68.0%
% Public Transit,9.5%
% Walk,2.0%
% Work from Home,13.7%
Median Home Value ($),"$224,874"
Vacancy Rate (%),18.3%
% Owner-Occupied,73.0%
% Units Built Pre-1950,64.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,709"
Population Change (abs),-194
Prior Income (CPI-adj $),"$67,138"
"Income Change (%, inflation-adj)",32.5%
Prior Median Rent ($/mo),$941
Rent Change (%),18.6%
