Metric,Value
NSA ID,2
NSA Name,Belair-Parkside
Total Population,327
Median HH Income ($),"$79,167"
Median Gross Rent ($/mo),"$2,052"
% Renter-Occupied,32.4%
Population Change (%),2.3%
Pop Density (per km²),3687.0
% Age 18–34,31.5%
% Age 35–64,31.7%
% Age 65+,14.5%
% Bachelor's or Higher,56.2%
Avg Household Size,2.4
% Drive Alone,36.8%
% Public Transit,4.6%
% Walk,1.7%
% Work from Home,44.3%
Median Home Value ($),"$205,789"
Vacancy Rate (%),8.9%
% Owner-Occupied,67.6%
% Units Built Pre-1950,32.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,319
Population Change (abs),7
Prior Income (CPI-adj $),"$66,780"
"Income Change (%, inflation-adj)",18.5%
Prior Median Rent ($/mo),$937
Rent Change (%),118.9%
