Metric,Value
NSA ID,31
NSA Name,Sabina-Mattfeldt
Total Population,174
Median HH Income ($),"$113,215"
% HH Income Below $50k,16.0%
% HH Income $50k–$100k,20.5%
% HH Income $100k+,63.5%
Median Gross Rent ($/mo),"$1,820"
% Renter-Occupied,5.2%
Population Change (%),6.9%
Pop Density (per km²),568.0
% Age 18–34,8.1%
% Age 35–64,47.4%
% Age 65+,27.6%
% Bachelor's or Higher,49.0%
Avg Household Size,2.3
% Drive Alone,57.4%
% Public Transit,0.2%
% Walk,7.4%
% Work from Home,21.7%
Median Home Value ($),"$380,817"
Vacancy Rate (%),0.4%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.3%
% Vacant — Other/Distressed,0.0%
% Owner-Occupied,94.8%
% Units Built Pre-1950,32.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,162
Population Change (abs),11
Pop Change vs City Avg (pp),-746.1%
Prior Income (CPI-adj $),"$129,454"
"Income Change (%, inflation-adj)",-12.5%
Income Change vs City Avg (pp),-22.8%
Prior Median Rent ($/mo),"$1,375"
Rent Change (%),32.3%
Rent Change vs City Avg (pp),6.4%
Prior Median Home Value ($),383177.91537673504
Home Value Change (%),-0.6%
Home Value Change vs City Avg (pp),-38.7%
Prior Vacancy Rate (%),8.1%
Vacancy Rate Change (pp),-7.7%
Vacancy Change vs City Avg (pp),-3.5%
Prior % Bachelor's+,68.3%
Education Change (pp),-19.3%
Education Change vs City Avg (pp),-22.2%
Market Signals,Renter demand rising; Affordability stress — rents outpacing incomes
