Metric,Value
NSA ID,32
NSA Name,Saint Agnes
Total Population,536
Median HH Income ($),"$17,559"
% HH Income Below $50k,80.6%
% HH Income $50k–$100k,11.3%
% HH Income $100k+,8.0%
Median Gross Rent ($/mo),$433
% Renter-Occupied,80.5%
Population Change (%),-10.3%
Pop Density (per km²),2041.3
% Age 18–34,16.1%
% Age 35–64,26.6%
% Age 65+,56.5%
% Bachelor's or Higher,4.6%
Avg Household Size,1.2
% Drive Alone,76.0%
% Public Transit,4.5%
% Walk,0.0%
% Work from Home,18.6%
Median Home Value ($),"$136,809"
Vacancy Rate (%),9.0%
% Vacant — For Rent,3.3%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,5.7%
% Owner-Occupied,19.5%
% Units Built Pre-1950,37.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,597
Population Change (abs),-61
Pop Change vs City Avg (pp),-763.3%
Prior Income (CPI-adj $),"$21,185"
"Income Change (%, inflation-adj)",-17.1%
Income Change vs City Avg (pp),-27.4%
Prior Median Rent ($/mo),$372
Rent Change (%),16.4%
Rent Change vs City Avg (pp),-9.5%
Prior Median Home Value ($),146888.71400380982
Home Value Change (%),-6.9%
Home Value Change vs City Avg (pp),-45.0%
Prior Vacancy Rate (%),12.0%
Vacancy Rate Change (pp),-3.0%
Vacancy Change vs City Avg (pp),1.2%
Prior % Bachelor's+,8.9%
Education Change (pp),-4.3%
Education Change vs City Avg (pp),-7.2%
Market Signals,Affordability stress — rents outpacing incomes
