Metric,Value
NSA ID,33
NSA Name,Saint Helena
Total Population,"1,361"
Median HH Income ($),"$69,107"
Median Gross Rent ($/mo),"$1,211"
% Renter-Occupied,36.3%
Population Change (%),151.6%
Pop Density (per km²),9257.9
% Age 18–34,28.9%
% Age 35–64,28.7%
% Age 65+,1.1%
% Bachelor's or Higher,8.3%
Avg Household Size,3.5
% Drive Alone,86.0%
% Public Transit,12.2%
% Walk,0.0%
% Work from Home,1.8%
Median Home Value ($),"$257,566"
Vacancy Rate (%),9.8%
% Owner-Occupied,63.7%
% Units Built Pre-1950,59.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,540
Population Change (abs),820
Prior Income (CPI-adj $),"$41,252"
"Income Change (%, inflation-adj)",67.5%
Prior Median Rent ($/mo),"$1,202"
Rent Change (%),0.8%
