Metric,Value
NSA ID,37
NSA Name,University of Maryland
Total Population,769
Median HH Income ($),"$51,757"
Median Gross Rent ($/mo),"$1,479"
% Renter-Occupied,97.1%
Population Change (%),40.8%
Pop Density (per km²),1967.0
% Age 18–34,66.1%
% Age 35–64,23.1%
% Age 65+,0.6%
% Bachelor's or Higher,58.2%
Avg Household Size,1.6
% Drive Alone,38.3%
% Public Transit,16.4%
% Walk,20.5%
% Work from Home,13.1%
Median Home Value ($),"$446,362"
Vacancy Rate (%),9.9%
% Owner-Occupied,2.9%
% Units Built Pre-1950,16.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,546
Population Change (abs),222
Prior Income (CPI-adj $),"$42,575"
"Income Change (%, inflation-adj)",21.6%
Prior Median Rent ($/mo),"$1,183"
Rent Change (%),25.1%
