Metric,Value
NSA ID,39
NSA Name,Wakefield
Total Population,"2,049"
Median HH Income ($),"$50,067"
Median Gross Rent ($/mo),"$1,338"
% Renter-Occupied,86.3%
Population Change (%),11.4%
Pop Density (per km²),2897.4
% Age 18–34,28.7%
% Age 35–64,30.5%
% Age 65+,24.0%
% Bachelor's or Higher,29.9%
Avg Household Size,1.7
% Drive Alone,55.8%
% Public Transit,3.8%
% Walk,0.0%
% Work from Home,14.9%
Median Home Value ($),"$332,537"
Vacancy Rate (%),8.7%
% Owner-Occupied,13.7%
% Units Built Pre-1950,40.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,838"
Population Change (abs),210
Prior Income (CPI-adj $),"$32,700"
"Income Change (%, inflation-adj)",53.1%
Prior Median Rent ($/mo),$931
Rent Change (%),43.7%
