Metric,Value
NSA ID,3
NSA Name,Curtis Bay Industrial Area
Total Population,12
Median HH Income ($),"$79,724"
Median Gross Rent ($/mo),"$1,303"
% Renter-Occupied,96.3%
Population Change (%),86.0%
Pop Density (per km²),11.1
% Age 18–34,3.7%
% Age 35–64,88.6%
% Age 65+,2.1%
% Bachelor's or Higher,34.8%
Avg Household Size,1.6
% Drive Alone,78.4%
% Public Transit,20.9%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$182,889"
Vacancy Rate (%),1.3%
% Owner-Occupied,3.7%
% Units Built Pre-1950,62.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,6
Population Change (abs),5
Prior Income (CPI-adj $),"$6,282"
"Income Change (%, inflation-adj)",1169.0%
Prior Median Rent ($/mo),$851
Rent Change (%),53.1%
