Metric,Value
NSA ID,41
NSA Name,Wilson Park
Total Population,912
Median HH Income ($),"$68,917"
% HH Income Below $50k,32.3%
% HH Income $50k–$100k,38.4%
% HH Income $100k+,29.3%
Median Gross Rent ($/mo),"$1,323"
% Renter-Occupied,35.3%
Population Change (%),-32.7%
Pop Density (per km²),2875.6
% Age 18–34,21.5%
% Age 35–64,33.7%
% Age 65+,29.0%
% Bachelor's or Higher,20.4%
Avg Household Size,2.4
% Drive Alone,61.0%
% Public Transit,14.6%
% Walk,8.6%
% Work from Home,7.6%
Median Home Value ($),"$178,370"
Vacancy Rate (%),17.1%
% Vacant — For Rent,0.0%
% Vacant — For Sale,1.3%
% Vacant — Other/Distressed,15.8%
% Owner-Occupied,64.7%
% Units Built Pre-1950,46.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,354"
Population Change (abs),-442
Pop Change vs City Avg (pp),-785.7%
Prior Income (CPI-adj $),"$61,303"
"Income Change (%, inflation-adj)",12.4%
Income Change vs City Avg (pp),2.1%
Prior Median Rent ($/mo),"$1,373"
Rent Change (%),-3.7%
Rent Change vs City Avg (pp),-29.6%
Prior Median Home Value ($),105040.26264054101
Home Value Change (%),69.8%
Home Value Change vs City Avg (pp),31.7%
Prior Vacancy Rate (%),26.5%
Vacancy Rate Change (pp),-9.4%
Vacancy Change vs City Avg (pp),-5.2%
Prior % Bachelor's+,14.9%
Education Change (pp),5.5%
Education Change vs City Avg (pp),2.6%
Market Signals,Home value appreciation outpacing city; Significant population loss
