Metric,Value
NSA ID,44
NSA Name,Edgewood
Total Population,"2,450"
Median HH Income ($),"$47,335"
% HH Income Below $50k,54.4%
% HH Income $50k–$100k,25.2%
% HH Income $100k+,20.4%
Median Gross Rent ($/mo),"$1,636"
% Renter-Occupied,38.1%
Population Change (%),-5.5%
Pop Density (per km²),8773.6
% Age 18–34,22.5%
% Age 35–64,25.4%
% Age 65+,17.2%
% Bachelor's or Higher,11.7%
Avg Household Size,3.2
% Drive Alone,46.7%
% Public Transit,30.8%
% Walk,0.6%
% Work from Home,8.9%
Median Home Value ($),"$106,099"
Vacancy Rate (%),21.3%
% Vacant — For Rent,1.1%
% Vacant — For Sale,4.6%
% Vacant — Other/Distressed,15.6%
% Owner-Occupied,61.9%
% Units Built Pre-1950,43.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,592"
Population Change (abs),-142
Pop Change vs City Avg (pp),-758.5%
Prior Income (CPI-adj $),"$48,814"
"Income Change (%, inflation-adj)",-3.0%
Income Change vs City Avg (pp),-13.3%
Prior Median Rent ($/mo),"$1,328"
Rent Change (%),23.2%
Rent Change vs City Avg (pp),-2.7%
Prior Median Home Value ($),95632.20273367401
Home Value Change (%),10.9%
Home Value Change vs City Avg (pp),-27.2%
Prior Vacancy Rate (%),18.1%
Vacancy Rate Change (pp),3.2%
Vacancy Change vs City Avg (pp),7.4%
Prior % Bachelor's+,9.9%
Education Change (pp),1.8%
Education Change vs City Avg (pp),-1.1%
Market Signals,Affordability stress — rents outpacing incomes; Vacancy distress — disinvestment risk
