Metric,Value
NSA ID,45
NSA Name,Evesham Park
Total Population,732
Median HH Income ($),"$65,256"
Median Gross Rent ($/mo),$853
% Renter-Occupied,58.6%
Population Change (%),0.2%
Pop Density (per km²),3848.7
% Age 18–34,15.2%
% Age 35–64,40.9%
% Age 65+,19.7%
% Bachelor's or Higher,40.9%
Avg Household Size,2.2
% Drive Alone,70.1%
% Public Transit,5.1%
% Walk,0.0%
% Work from Home,22.4%
Median Home Value ($),"$312,157"
Vacancy Rate (%),16.6%
% Owner-Occupied,41.4%
% Units Built Pre-1950,22.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,730
Population Change (abs),1
Prior Income (CPI-adj $),"$44,537"
"Income Change (%, inflation-adj)",46.5%
Prior Median Rent ($/mo),"$1,126"
Rent Change (%),-24.3%
