Metric,Value
NSA ID,47
NSA Name,York-Homeland
Total Population,"1,347"
Median HH Income ($),"$44,053"
Median Gross Rent ($/mo),$852
% Renter-Occupied,56.4%
Population Change (%),71.8%
Pop Density (per km²),22253.5
% Age 18–34,50.2%
% Age 35–64,30.1%
% Age 65+,7.7%
% Bachelor's or Higher,50.1%
Avg Household Size,1.8
% Drive Alone,35.0%
% Public Transit,3.8%
% Walk,27.6%
% Work from Home,29.9%
Median Home Value ($),"$269,770"
Vacancy Rate (%),6.5%
% Owner-Occupied,43.6%
% Units Built Pre-1950,23.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,784
Population Change (abs),562
Prior Income (CPI-adj $),"$43,104"
"Income Change (%, inflation-adj)",2.2%
Prior Median Rent ($/mo),"$1,260"
Rent Change (%),-32.4%
