Metric,Value
NSA ID,48
NSA Name,CARE
Total Population,"1,194"
Median HH Income ($),"$43,524"
Median Gross Rent ($/mo),"$1,501"
% Renter-Occupied,64.8%
Population Change (%),9.2%
Pop Density (per km²),5442.0
% Age 18–34,36.7%
% Age 35–64,37.8%
% Age 65+,7.2%
% Bachelor's or Higher,42.0%
Avg Household Size,2.3
% Drive Alone,31.8%
% Public Transit,12.8%
% Walk,21.5%
% Work from Home,25.1%
Median Home Value ($),"$222,786"
Vacancy Rate (%),20.3%
% Owner-Occupied,35.2%
% Units Built Pre-1950,9.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,093"
Population Change (abs),100
Prior Income (CPI-adj $),"$55,698"
"Income Change (%, inflation-adj)",-21.9%
Prior Median Rent ($/mo),"$1,213"
Rent Change (%),23.8%
