Metric,Value
NSA ID,49
NSA Name,Concerned Citizens of Forest Park
Total Population,"1,186"
Median HH Income ($),"$38,322"
% HH Income Below $50k,52.3%
% HH Income $50k–$100k,17.1%
% HH Income $100k+,30.6%
Median Gross Rent ($/mo),"$1,013"
% Renter-Occupied,51.1%
Population Change (%),-21.1%
Pop Density (per km²),5731.2
% Age 18–34,26.6%
% Age 35–64,35.5%
% Age 65+,15.6%
% Bachelor's or Higher,20.9%
Avg Household Size,2.5
% Drive Alone,66.3%
% Public Transit,10.3%
% Walk,0.0%
% Work from Home,13.2%
Median Home Value ($),"$228,362"
Vacancy Rate (%),22.9%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,22.9%
% Owner-Occupied,48.9%
% Units Built Pre-1950,22.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,502"
Population Change (abs),-316
Pop Change vs City Avg (pp),-774.1%
Prior Income (CPI-adj $),"$60,265"
"Income Change (%, inflation-adj)",-36.4%
Income Change vs City Avg (pp),-46.7%
Prior Median Rent ($/mo),$942
Rent Change (%),7.6%
Rent Change vs City Avg (pp),-18.3%
Prior Median Home Value ($),109734.81151463938
Home Value Change (%),108.1%
Home Value Change vs City Avg (pp),70.0%
Prior Vacancy Rate (%),21.6%
Vacancy Rate Change (pp),1.3%
Vacancy Change vs City Avg (pp),5.5%
Prior % Bachelor's+,12.6%
Education Change (pp),8.3%
Education Change vs City Avg (pp),5.4%
Market Signals,Affordability stress — rents outpacing incomes; Home value appreciation outpacing city; Significant population loss
