Metric,Value
NSA ID,4
NSA Name,Eastwood
Total Population,542
Median HH Income ($),"$57,143"
% HH Income Below $50k,36.2%
% HH Income $50k–$100k,54.1%
% HH Income $100k+,9.7%
Median Gross Rent ($/mo),"$1,696"
% Renter-Occupied,34.8%
Population Change (%),-24.3%
Pop Density (per km²),7483.1
% Age 18–34,35.1%
% Age 35–64,28.1%
% Age 65+,10.8%
% Bachelor's or Higher,10.9%
Avg Household Size,3.2
% Drive Alone,80.1%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$177,679"
Vacancy Rate (%),14.7%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,14.7%
% Owner-Occupied,65.2%
% Units Built Pre-1950,49.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,716
Population Change (abs),-174
Pop Change vs City Avg (pp),-777.3%
Prior Income (CPI-adj $),"$64,080"
"Income Change (%, inflation-adj)",-10.8%
Income Change vs City Avg (pp),-21.1%
Prior Median Rent ($/mo),"$1,582"
Rent Change (%),7.2%
Rent Change vs City Avg (pp),-18.7%
Prior Median Home Value ($),98333.33333333333
Home Value Change (%),80.7%
Home Value Change vs City Avg (pp),42.6%
Prior Vacancy Rate (%),6.7%
Vacancy Rate Change (pp),8.0%
Vacancy Change vs City Avg (pp),12.2%
Prior % Bachelor's+,12.8%
Education Change (pp),-1.9%
Education Change vs City Avg (pp),-4.8%
Market Signals,Affordability stress — rents outpacing incomes; Home value appreciation outpacing city; Significant population loss
