Metric,Value
NSA ID,50
NSA Name,Carroll - Camden Industrial Area
Total Population,28
Median HH Income ($),"$49,524"
Median Gross Rent ($/mo),"$1,651"
% Renter-Occupied,57.4%
Population Change (%),-17.3%
Pop Density (per km²),17.8
% Age 18–34,35.7%
% Age 35–64,29.7%
% Age 65+,8.0%
% Bachelor's or Higher,38.3%
Avg Household Size,2.4
% Drive Alone,71.2%
% Public Transit,15.6%
% Walk,2.3%
% Work from Home,4.1%
Median Home Value ($),"$110,077"
Vacancy Rate (%),10.0%
% Owner-Occupied,42.6%
% Units Built Pre-1950,29.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,33
Population Change (abs),-5
Prior Income (CPI-adj $),"$57,060"
"Income Change (%, inflation-adj)",-13.2%
Prior Median Rent ($/mo),"$1,105"
Rent Change (%),49.4%
