Metric,Value
NSA ID,53
NSA Name,Harbor East
Total Population,"1,313"
Median HH Income ($),"$117,029"
% HH Income Below $50k,21.0%
% HH Income $50k–$100k,17.9%
% HH Income $100k+,61.1%
Median Gross Rent ($/mo),"$2,072"
% Renter-Occupied,60.1%
Population Change (%),85.1%
Pop Density (per km²),8726.7
% Age 18–34,35.2%
% Age 35–64,43.9%
% Age 65+,13.1%
% Bachelor's or Higher,76.1%
Avg Household Size,1.8
% Drive Alone,52.5%
% Public Transit,1.4%
% Walk,12.9%
% Work from Home,23.8%
Median Home Value ($),"$413,785"
Vacancy Rate (%),13.4%
% Vacant — For Rent,3.4%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,10.0%
% Owner-Occupied,39.9%
% Units Built Pre-1950,1.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,709
Population Change (abs),603
Pop Change vs City Avg (pp),-667.9%
Prior Income (CPI-adj $),"$133,627"
"Income Change (%, inflation-adj)",-12.4%
Income Change vs City Avg (pp),-22.7%
Prior Median Rent ($/mo),"$2,318"
Rent Change (%),-10.6%
Rent Change vs City Avg (pp),-36.5%
Prior Median Home Value ($),369535.10633347987
Home Value Change (%),12.0%
Home Value Change vs City Avg (pp),-26.1%
Prior Vacancy Rate (%),24.2%
Vacancy Rate Change (pp),-10.8%
Vacancy Change vs City Avg (pp),-6.6%
Prior % Bachelor's+,81.3%
Education Change (pp),-5.2%
Education Change vs City Avg (pp),-8.1%
Market Signals,Young adult population growing
