Metric,Value
NSA ID,58
NSA Name,Arcadia
Total Population,"1,015"
Median HH Income ($),"$108,022"
Median Gross Rent ($/mo),"$1,652"
% Renter-Occupied,15.7%
Population Change (%),-8.2%
Pop Density (per km²),1733.7
% Age 18–34,17.1%
% Age 35–64,42.9%
% Age 65+,18.1%
% Bachelor's or Higher,63.3%
Avg Household Size,2.5
% Drive Alone,58.1%
% Public Transit,1.4%
% Walk,1.1%
% Work from Home,32.2%
Median Home Value ($),"$262,127"
Vacancy Rate (%),4.6%
% Owner-Occupied,84.3%
% Units Built Pre-1950,25.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,106"
Population Change (abs),-91
Prior Income (CPI-adj $),"$81,311"
"Income Change (%, inflation-adj)",32.9%
Prior Median Rent ($/mo),$946
Rent Change (%),74.6%
