Metric,Value
NSA ID,60
NSA Name,Armistead Gardens
Total Population,"2,468"
Median HH Income ($),"$34,624"
Median Gross Rent ($/mo),$678
% Renter-Occupied,54.6%
Population Change (%),-27.9%
Pop Density (per km²),1974.0
% Age 18–34,12.7%
% Age 35–64,38.2%
% Age 65+,25.3%
% Bachelor's or Higher,7.6%
Avg Household Size,2.0
% Drive Alone,81.9%
% Public Transit,2.8%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$43,139"
Vacancy Rate (%),10.1%
% Owner-Occupied,45.4%
% Units Built Pre-1950,32.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,424"
Population Change (abs),-956
Prior Income (CPI-adj $),"$41,658"
"Income Change (%, inflation-adj)",-16.9%
Prior Median Rent ($/mo),$690
Rent Change (%),-1.8%
