Metric,Value
NSA ID,61
NSA Name,Ashburton
Total Population,"2,644"
Median HH Income ($),"$68,141"
Median Gross Rent ($/mo),"$1,370"
% Renter-Occupied,4.9%
Population Change (%),5.0%
Pop Density (per km²),2885.2
% Age 18–34,29.2%
% Age 35–64,38.1%
% Age 65+,29.0%
% Bachelor's or Higher,44.9%
Avg Household Size,2.4
% Drive Alone,81.4%
% Public Transit,8.0%
% Walk,0.0%
% Work from Home,9.1%
Median Home Value ($),"$202,126"
Vacancy Rate (%),3.0%
% Owner-Occupied,95.1%
% Units Built Pre-1950,36.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,518"
Population Change (abs),125
Prior Income (CPI-adj $),"$61,675"
"Income Change (%, inflation-adj)",10.5%
Prior Median Rent ($/mo),$924
Rent Change (%),48.2%
