Metric,Value
NSA ID,62
NSA Name,Baltimore Highlands
Total Population,"2,174"
Median HH Income ($),"$46,714"
Median Gross Rent ($/mo),"$1,552"
% Renter-Occupied,70.5%
Population Change (%),-20.9%
Pop Density (per km²),5541.0
% Age 18–34,19.7%
% Age 35–64,41.5%
% Age 65+,9.2%
% Bachelor's or Higher,13.9%
Avg Household Size,3.0
% Drive Alone,28.9%
% Public Transit,22.9%
% Walk,4.3%
% Work from Home,22.1%
Median Home Value ($),"$180,054"
Vacancy Rate (%),23.4%
% Owner-Occupied,29.5%
% Units Built Pre-1950,11.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,748"
Population Change (abs),-574
Prior Income (CPI-adj $),"$42,734"
"Income Change (%, inflation-adj)",9.3%
Prior Median Rent ($/mo),"$1,176"
Rent Change (%),32.0%
