Metric,Value
NSA ID,63
NSA Name,Patterson Park Neighborhood
Total Population,"5,057"
Median HH Income ($),"$95,712"
Median Gross Rent ($/mo),"$1,767"
% Renter-Occupied,28.6%
Population Change (%),-1.6%
Pop Density (per km²),11552.5
% Age 18–34,39.0%
% Age 35–64,32.4%
% Age 65+,9.4%
% Bachelor's or Higher,60.9%
Avg Household Size,2.2
% Drive Alone,67.2%
% Public Transit,6.2%
% Walk,4.4%
% Work from Home,19.0%
Median Home Value ($),"$300,956"
Vacancy Rate (%),13.2%
% Owner-Occupied,71.4%
% Units Built Pre-1950,7.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"5,139"
Population Change (abs),-82
Prior Income (CPI-adj $),"$70,382"
"Income Change (%, inflation-adj)",36.0%
Prior Median Rent ($/mo),"$1,483"
Rent Change (%),19.2%
