Metric,Value
NSA ID,64
NSA Name,Barclay
Total Population,"2,719"
Median HH Income ($),"$58,433"
Median Gross Rent ($/mo),$945
% Renter-Occupied,64.7%
Population Change (%),6.3%
Pop Density (per km²),7466.5
% Age 18–34,27.1%
% Age 35–64,38.9%
% Age 65+,10.0%
% Bachelor's or Higher,38.8%
Avg Household Size,2.5
% Drive Alone,37.9%
% Public Transit,21.0%
% Walk,5.5%
% Work from Home,22.7%
Median Home Value ($),"$310,380"
Vacancy Rate (%),17.0%
% Owner-Occupied,35.3%
% Units Built Pre-1950,15.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,557"
Population Change (abs),161
Prior Income (CPI-adj $),"$39,757"
"Income Change (%, inflation-adj)",47.0%
Prior Median Rent ($/mo),$949
Rent Change (%),-0.5%
