Metric,Value
NSA ID,66
NSA Name,Bellona-Gittings
Total Population,482
Median HH Income ($),"$194,616"
Median Gross Rent ($/mo),"$1,750"
% Renter-Occupied,3.9%
Population Change (%),-14.1%
Pop Density (per km²),1143.6
% Age 18–34,7.4%
% Age 35–64,51.9%
% Age 65+,25.3%
% Bachelor's or Higher,84.4%
Avg Household Size,2.5
% Drive Alone,59.6%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,39.4%
Median Home Value ($),"$562,647"
Vacancy Rate (%),17.0%
% Owner-Occupied,96.1%
% Units Built Pre-1950,23.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,561
Population Change (abs),-79
Prior Income (CPI-adj $),"$170,160"
"Income Change (%, inflation-adj)",14.4%
Prior Median Rent ($/mo),"$1,900"
Rent Change (%),-7.9%
