Metric,Value
NSA ID,67
NSA Name,Berea
Total Population,"3,260"
Median HH Income ($),"$42,797"
Median Gross Rent ($/mo),"$1,381"
% Renter-Occupied,49.5%
Population Change (%),50.6%
Pop Density (per km²),3703.8
% Age 18–34,18.2%
% Age 35–64,36.2%
% Age 65+,21.6%
% Bachelor's or Higher,15.8%
Avg Household Size,2.4
% Drive Alone,57.6%
% Public Transit,13.8%
% Walk,3.6%
% Work from Home,14.2%
Median Home Value ($),"$103,372"
Vacancy Rate (%),23.3%
% Owner-Occupied,50.5%
% Units Built Pre-1950,50.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,165"
Population Change (abs),"1,094"
Prior Income (CPI-adj $),"$32,906"
"Income Change (%, inflation-adj)",30.1%
Prior Median Rent ($/mo),"$1,118"
Rent Change (%),23.5%
