Metric,Value
NSA ID,72
NSA Name,Bolton Hill
Total Population,"4,043"
Median HH Income ($),"$70,993"
Median Gross Rent ($/mo),"$1,106"
% Renter-Occupied,69.3%
Population Change (%),-9.3%
Pop Density (per km²),6855.3
% Age 18–34,37.4%
% Age 35–64,35.2%
% Age 65+,22.3%
% Bachelor's or Higher,57.4%
Avg Household Size,1.5
% Drive Alone,51.2%
% Public Transit,5.9%
% Walk,14.2%
% Work from Home,24.1%
Median Home Value ($),"$445,700"
Vacancy Rate (%),10.0%
% Owner-Occupied,30.7%
% Units Built Pre-1950,24.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,459"
Population Change (abs),-416
Prior Income (CPI-adj $),"$56,092"
"Income Change (%, inflation-adj)",26.6%
Prior Median Rent ($/mo),$852
Rent Change (%),29.8%
