Metric,Value
NSA ID,75
NSA Name,Broadway East
Total Population,"2,950"
Median HH Income ($),"$42,376"
Median Gross Rent ($/mo),"$1,236"
% Renter-Occupied,62.4%
Population Change (%),-6.4%
Pop Density (per km²),3291.5
% Age 18–34,22.0%
% Age 35–64,37.4%
% Age 65+,12.9%
% Bachelor's or Higher,19.1%
Avg Household Size,2.3
% Drive Alone,48.5%
% Public Transit,15.0%
% Walk,8.4%
% Work from Home,14.3%
Median Home Value ($),"$111,034"
Vacancy Rate (%),38.9%
% Owner-Occupied,37.6%
% Units Built Pre-1950,11.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,152"
Population Change (abs),-202
Prior Income (CPI-adj $),"$38,546"
"Income Change (%, inflation-adj)",9.9%
Prior Median Rent ($/mo),$984
Rent Change (%),25.6%
