Metric,Value
NSA ID,76
NSA Name,Broening Manor
Total Population,"1,531"
Median HH Income ($),"$27,057"
% HH Income Below $50k,75.9%
% HH Income $50k–$100k,16.9%
% HH Income $100k+,7.2%
Median Gross Rent ($/mo),"$1,299"
% Renter-Occupied,39.1%
Population Change (%),-3.8%
Pop Density (per km²),3668.7
% Age 18–34,10.8%
% Age 35–64,31.1%
% Age 65+,6.6%
% Bachelor's or Higher,4.6%
Avg Household Size,3.3
% Drive Alone,55.6%
% Public Transit,2.9%
% Walk,3.5%
% Work from Home,0.0%
Median Home Value ($),"$175,405"
Vacancy Rate (%),19.0%
% Vacant — For Rent,7.2%
% Vacant — For Sale,7.9%
% Vacant — Other/Distressed,4.0%
% Owner-Occupied,60.9%
% Units Built Pre-1950,60.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,591"
Population Change (abs),-60
Pop Change vs City Avg (pp),-756.8%
Prior Income (CPI-adj $),"$38,966"
"Income Change (%, inflation-adj)",-30.6%
Income Change vs City Avg (pp),-40.9%
Prior Median Rent ($/mo),"$1,223"
Rent Change (%),6.2%
Rent Change vs City Avg (pp),-19.7%
Prior Median Home Value ($),82638.45445073702
Home Value Change (%),112.3%
Home Value Change vs City Avg (pp),74.2%
Prior Vacancy Rate (%),19.8%
Vacancy Rate Change (pp),-0.8%
Vacancy Change vs City Avg (pp),3.4%
Prior % Bachelor's+,5.2%
Education Change (pp),-0.6%
Education Change vs City Avg (pp),-3.5%
Market Signals,Affordability stress — rents outpacing incomes; Home value appreciation outpacing city
