Metric,Value
NSA ID,77
NSA Name,Brooklyn
Total Population,"9,814"
Median HH Income ($),"$38,315"
% HH Income Below $50k,65.2%
% HH Income $50k–$100k,21.5%
% HH Income $100k+,13.3%
Median Gross Rent ($/mo),"$1,149"
% Renter-Occupied,55.7%
Population Change (%),5.4%
Pop Density (per km²),4442.0
% Age 18–34,22.7%
% Age 35–64,38.1%
% Age 65+,7.6%
% Bachelor's or Higher,8.7%
Avg Household Size,2.6
% Drive Alone,69.2%
% Public Transit,9.9%
% Walk,3.4%
% Work from Home,4.2%
Median Home Value ($),"$104,236"
Vacancy Rate (%),14.7%
% Vacant — For Rent,5.2%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,9.5%
% Owner-Occupied,44.3%
% Units Built Pre-1950,35.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"9,310"
Population Change (abs),503
Pop Change vs City Avg (pp),-747.6%
Prior Income (CPI-adj $),"$47,210"
"Income Change (%, inflation-adj)",-18.8%
Income Change vs City Avg (pp),-29.1%
Prior Median Rent ($/mo),$907
Rent Change (%),26.6%
Rent Change vs City Avg (pp),0.7%
Prior Median Home Value ($),94281.81111891696
Home Value Change (%),10.6%
Home Value Change vs City Avg (pp),-27.5%
Prior Vacancy Rate (%),25.8%
Vacancy Rate Change (pp),-11.1%
Vacancy Change vs City Avg (pp),-6.9%
Prior % Bachelor's+,9.2%
Education Change (pp),-0.5%
Education Change vs City Avg (pp),-3.4%
Market Signals,Affordability stress — rents outpacing incomes
