Metric,Value
NSA ID,78
NSA Name,Parkway
Total Population,842
Median HH Income ($),"$72,237"
Median Gross Rent ($/mo),"$1,228"
% Renter-Occupied,26.6%
Population Change (%),18.4%
Pop Density (per km²),3756.8
% Age 18–34,19.0%
% Age 35–64,39.0%
% Age 65+,11.7%
% Bachelor's or Higher,24.3%
Avg Household Size,2.6
% Drive Alone,62.7%
% Public Transit,20.4%
% Walk,0.0%
% Work from Home,12.9%
Median Home Value ($),"$214,239"
Vacancy Rate (%),0.0%
% Owner-Occupied,73.4%
% Units Built Pre-1950,45.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,710
Population Change (abs),131
Prior Income (CPI-adj $),"$37,635"
"Income Change (%, inflation-adj)",91.9%
Prior Median Rent ($/mo),"$1,085"
Rent Change (%),13.2%
